Crop,count,mean,median,std,min,max
Arecanut,162,1.7245509453858023,1.2940584419999999,1.2860661320333175,0.0,5.0728260875
Arhar/Tur,508,0.8430226114872047,0.7785855265,0.39103759363293855,0.136666667,5.0728260875
Bajra,524,1.3665554209408397,1.0359375,0.9903951520146228,0.208,5.0728260875
Banana,245,5.031415262295919,5.0728260875,0.45739367303017636,0.0,5.0728260875
Barley,297,1.5955400493097642,1.371714286,0.9152567318866562,0.26,3.988235294
Black pepper,126,0.8296046303571429,0.5171428570000001,0.835882060203455,0.141666667,4.133571429
Cardamom,73,0.17066150647945205,0.078,0.3788183274774194,0.03875,2.87
Cashewnut,134,0.6318102363768657,0.4625,0.569412799139751,0.0,5.0728260875
Castor seed,300,0.6936094939966667,0.59,0.46393660643369755,0.07,2.466333333
Coconut,172,4.851967897383721,5.0728260875,1.0199320560265752,0.0,5.0728260875
Coriander,199,0.6460913197211056,0.481935484,0.7160847015593569,0.0,5.0728260875
Cotton(lint),474,1.611468447535865,1.4321153844999999,1.0850324806957592,0.0,5.0728260875
Cowpea(Lobia),134,0.8132239215895523,0.7637499999999999,0.49120427654339627,0.0,2.523333333
Dry chillies,419,1.7556629442315035,1.012857143,1.4207817056544414,0.205,5.0728260875
Garlic,250,3.347641428034,3.3068068965,1.7379540449846238,0.0,5.0728260875
Ginger,323,3.5292640978049534,4.8875,1.7080502805993916,0.0,5.0728260875
Gram,490,0.8667253467428572,0.818733766,0.4183076788092838,0.0,5.0728260875
Groundnut,725,1.360983478711724,1.195,0.623429358508457,0.204166667,3.673448276
Guar seed,63,0.8633249177539682,0.812419355,0.6558040882375133,0.0,5.0728260875
Horse-gram,371,0.4628220138005391,0.422,0.225086511852477,0.0,1.3
Jowar,513,1.0724982779980505,0.97952381,0.5185302912459748,0.003571429,3.579090909
Jute,181,3.942598690961326,5.0728260875,1.8371682885290528,0.0,5.0728260875
Khesari,75,0.7889407394533333,0.792758621,0.22855161415107075,0.28125,1.545652174
Linseed,308,0.47393049192532466,0.4410416665,0.22366760875046285,0.0,1.213333333
Maize,975,2.2477207600410254,1.955454545,1.1063743283924399,0.0,5.0728260875
Masoor,324,0.7031530066604939,0.705,0.23912903251547538,0.258888889,2.12375
Mesta,210,3.7892413459952383,4.93525,1.6770911666448862,0.0,5.0728260875
Moong(Green Gram),740,0.5309404007337838,0.5112581700000001,0.25341687766380955,0.0,1.773333333
Moth,110,0.4459953350454546,0.433,0.2578066639158167,0.0,1.0
Niger seed,192,0.423523330609375,0.35951190499999996,0.4002365842188033,0.0,4.987647059
Oilseeds total,29,1.788610242224138,1.115294118,1.4022246349387981,0.9325,5.0728260875
Onion,454,4.527554681568282,5.0728260875,1.2339974519633399,0.0,5.0728260875
Other  Rabi pulses,355,0.7803798285887323,0.740909091,0.511245489934344,0.0,4.0
Other Cereals,146,0.8495458645616438,0.7785576925,0.5320839092130232,0.095454545,4.394
Other Kharif pulses,382,0.6995134804162303,0.6445833335,0.37028564091187677,0.0,2.8
Other Summer Pulses,10,0.8599253987,0.6793750000000001,0.7098068488945912,0.334666667,2.8
Peas & beans (Pulses),369,1.2249595364336043,0.934444444,1.076539199394931,0.211666667,5.0728260875
Potato,628,4.99989106764809,5.0728260875,0.4093842756178809,0.0,5.0728260875
Ragi,498,1.215408287676707,1.0393333335000001,0.6883063691232353,0.0775,4.336538462
Rapeseed &Mustard,528,0.7851003278570076,0.7381891025,0.526569587729737,0.08,5.0728260875
Rice,1197,2.2151736356825396,2.203636364,0.783208273941602,0.016666667,5.0728260875
Safflower,169,0.5654818957928993,0.556666667,0.2370296179516746,0.0,1.256666667
Sannhamp,160,1.2455105864812501,0.4046190475,1.6652172356763055,0.0,5.0728260875
Sesamum,685,0.4777209884437957,0.438,0.33966636934254324,0.0,5.0728260875
Small millets,485,0.7687220714474228,0.75,0.3548052792067722,0.0,2.8775
Soyabean,349,1.0831943599426934,1.008,0.41849065009470277,0.0,2.845
Sugarcane,605,4.790770529755372,5.0728260875,0.841855663822638,0.29,5.0728260875
Sunflower,440,0.9362093539386364,0.845,0.5190746029431809,0.050666667,5.02
Sweet potato,273,4.649118280498168,5.0728260875,0.9606939643038657,0.0,5.0728260875
Tapioca,201,4.954880101743782,5.0728260875,0.5089173173563267,0.0,5.0728260875
Tobacco,364,1.8121615680206045,1.3938888889999999,1.4605822554242558,0.0,5.0728260875
Turmeric,337,2.6190043705489616,2.015714286,1.7460341934284866,0.0,5.0728260875
Urad,733,0.5840477716793997,0.57,0.301862151827221,0.0,4.1875
Wheat,545,2.0050864420862387,1.668461538,1.0804657643132722,0.0,5.068636364
other oilseeds,126,1.0446578761825398,0.605,1.2584455473127432,0.0,5.0728260875
