Variable_1,Variable_2,Correlation,Absolute_Correlation
Area,Fertilizer,0.9924639026961539,0.9924639026961539
Area,Pesticide,0.9848130748909334,0.9848130748909334
Fertilizer,Pesticide,0.9829183264582766,0.9829183264582766
Production,Fertilizer,0.8280267048461868,0.8280267048461868
Area,Production,0.8256699029153689,0.8256699029153689
Production,Pesticide,0.8233598950123753,0.8233598950123753
Production,Yield,0.37651397440029,0.37651397440029
Area,Annual_Rainfall,-0.2510977710226539,0.2510977710226539
Annual_Rainfall,Fertilizer,-0.2496975317901704,0.2496975317901704
Annual_Rainfall,Pesticide,-0.24807518345360563,0.24807518345360563
Production,Annual_Rainfall,-0.20282715964564402,0.20282715964564402
Annual_Rainfall,Yield,0.04230363267645661,0.04230363267645661
Fertilizer,Yield,0.03083929946585766,0.03083929946585766
Pesticide,Yield,0.03079198556699703,0.03079198556699703
Area,Yield,0.024764230886817905,0.024764230886817905
