Crop,count,mean,median,std,min,max
Banana,245,5.031415262295919,5.0728260875,0.45739367303017636,0.0,5.0728260875
Potato,628,4.99989106764809,5.0728260875,0.4093842756178809,0.0,5.0728260875
Tapioca,201,4.954880101743782,5.0728260875,0.5089173173563267,0.0,5.0728260875
Coconut,172,4.851967897383721,5.0728260875,1.0199320560265752,0.0,5.0728260875
Sugarcane,605,4.790770529755372,5.0728260875,0.841855663822638,0.29,5.0728260875
Sweet potato,273,4.649118280498168,5.0728260875,0.9606939643038657,0.0,5.0728260875
Onion,454,4.527554681568282,5.0728260875,1.2339974519633399,0.0,5.0728260875
Jute,181,3.942598690961326,5.0728260875,1.8371682885290528,0.0,5.0728260875
Mesta,210,3.7892413459952383,4.93525,1.6770911666448862,0.0,5.0728260875
Ginger,323,3.5292640978049534,4.8875,1.7080502805993916,0.0,5.0728260875
