Crop_Year,Production,Yield,Annual_Rainfall
1997,44175127.5,1.5701000945036765,1496.9083333333333
1998,59419162.5,1.7253670740719815,1564.2777089783283
1999,62998924.0,1.707527181626154,1441.0702115384615
2000,64671547.0,1.6146290380051815,1307.8883581606217
2001,62838541.5,1.61348109694,1354.5560833333334
2002,63633258.0,1.6231734314122699,1226.3868865030674
2003,68857374.0,1.6959835794294633,1390.4108302122347
2004,65536388.0,1.6787469334498093,1360.1537007623888
2005,66566650.5,1.7137853092533908,1424.6333847102344
2006,66912532.0,1.6959222876804374,1340.4925577217498
2007,68081096.5,1.7178366324178744,1460.236654589372
2008,67571521.0,1.7794410683004722,1351.0916174734357
2009,66661991.5,1.7047108399699422,1163.1955924855492
2010,67869885.0,1.7225545145384167,1431.234240395809
2011,71969640.0,1.79972477219129,1322.7559781320836
2012,68202650.0,1.8291190380083893,1247.0300894854586
2013,77618460.5,1.9591353000204919,1405.0235655737704
2014,74964182.0,1.9256897353212434,1243.382901554404
2015,75762704.5,1.8779243814348698,1315.3932865731463
2016,79348313.0,1.8812105124864866,1443.0058880308882
2017,82725748.5,1.9381818454845507,1390.1404153782773
2018,79051148.0,1.9084154418570085,1493.6166509877705
2019,82650797.5,1.9516198968174234,1448.7305838739574
2020,1515004.5,1.7515564858783783,1313.947826
