Crop_Year,Total_Production,Average_Yield,Median_Yield,Average_Rainfall,Total_Area,Record_Count,Production_YoY_%,Yield_YoY_%,Rainfall_YoY_%
1997,44175127.5,1.5701000945036765,0.9503846155,1496.9083333333333,29989273.0,408,,,
1998,59419162.5,1.7253670740719815,0.9781153844999999,1564.2777089783283,38558100.0,646,34.50818563002449,9.888986066037164,4.5005678801303795
1999,62998924.0,1.707527181626154,0.9997916665,1441.0702115384615,41098149.0,650,6.024590972651289,-1.0339766368512082,-7.876318682591011
2000,64671547.0,1.6146290380051815,0.9133516485,1307.8883581606217,42994278.0,772,2.6550024886139223,-5.44050745549487,-9.24187123649286
2001,62838541.5,1.61348109694,0.925569853,1354.5560833333334,40997562.67,750,-2.834330683321984,-0.07109627277606112,3.5681734516196606
2002,63633258.0,1.6231734314122699,0.88,1226.3868865030674,42017293.13,815,1.264695966885232,0.6007095150139419,-9.462081224046715
2003,68857374.0,1.6959835794294633,1.0,1390.4108302122347,43774703.45,801,8.209725800932578,4.485666571922864,13.374567643728398
2004,65536388.0,1.6787469334498093,0.938939394,1360.1537007623888,42339711.554,787,-4.822992523647507,-1.0163215132927506,-2.1761287234239535
2005,66566650.5,1.7137853092533908,0.972307692,1424.6333847102344,41488463.01,811,1.572046509490277,2.0871743742565174,4.740617469312736
2006,66912532.0,1.6959222876804374,0.973571429,1340.4925577217498,43028431.76,823,0.5196017786714302,-1.042313846227061,-5.906138933112159
2007,68081096.5,1.7178366324178744,0.9995454545,1460.236654589372,42432754.16,828,1.7464060394546177,1.292178591945392,8.932843093969488
2008,67571521.0,1.7794410683004722,1.023333333,1351.0916174734357,41742258.03,847,-0.7484830976539847,3.5861638248969596,-7.47447591956446
2009,66661991.5,1.7047108399699422,0.965,1163.1955924855492,41840039.0,865,-1.3460249030061044,-4.19964615079409,-13.90697881312114
2010,67869885.0,1.7225545145384167,1.02125,1431.234240395809,41819057.97,859,1.811967318738139,1.0467273481283845,23.043299823506658
2011,71969640.0,1.79972477219129,1.037272727,1322.7559781320836,42525172.34,907,6.0406099111557365,4.479989283448149,-7.579350689215314
2012,68202650.0,1.8291190380083893,1.1123076925,1247.0300894854586,40193641.2,894,-5.234137616917356,1.6332645008442004,-5.724857033234542
2013,77618460.5,1.9591353000204919,1.16375,1405.0235655737704,43615087.29,976,13.805637317611552,7.1081356276117,12.669580102393674
2014,74964182.0,1.9256897353212434,1.147142857,1243.382901554404,42471548.86,965,-3.419648473960646,-1.7071595156750274,-11.50448063505305
2015,75762704.5,1.8779243814348698,1.0846923075000001,1315.3932865731463,43910894.478,998,1.0652053803508421,-2.480428337455176,5.791489084232948
2016,79348313.0,1.8812105124864866,1.1294444444999998,1443.0058880308882,44141319.338,1036,4.732682820212686,0.17498740013726088,9.70147884745538
2017,82725748.5,1.9381818454845507,1.17875,1390.1404153782773,45472183.938,1068,4.256467935241415,3.0284400719599702,-3.663565969557514
2018,79051148.0,1.9084154418570085,1.170714286,1493.6166509877705,43859262.689,1063,-4.441906621128966,-1.5357900341957054,7.443581559445267
2019,82650797.5,1.9516198968174234,1.175833333,1448.7305838739574,45325791.55,1079,4.55357017712128,2.2638914993464043,-3.0051932725929875
2020,1515004.5,1.7515564858783783,1.120769231,1313.947826,750181.0,37,-98.16698138938102,-10.251146304938564,-9.30350745502614
