Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,1997,Whole Year,Assam,0.39749965669419396,0.18603918738261419,0.7301514456172558,0.2840890630540191,0.46162317620792465,0.15693164781691324
Arhar/Tur,1997,Kharif,Assam,0.03573880755757441,0.015369852452697107,0.7301514456172558,0.025541929018023424,0.04150528423851063,0.14004713955216977
Castor seed,1997,Kharif,Assam,0.004283917940488275,7.217433382269719e-05,0.7301514456172558,0.0030614102407000676,0.0049762846256469,0.04698235833222816
Coconut,1997,Whole Year,Assam,0.10584858463767101,1.0,0.7301514456172558,0.0756487384619496,0.12292474083153801,1.0
Cotton(lint),1997,Kharif,Assam,0.009362151275347412,0.0026048373206918893,0.7301514456172558,0.006690776651762544,0.010873707435941458,0.08297329412438684
Dry chillies,1997,Whole Year,Assam,0.07316587190250654,0.0297653513987878,0.7301514456172558,0.05229070585459204,0.08496985320091484,0.12687924894290986
Gram,1997,Rabi,Assam,0.01603978577717703,0.0049439418668547576,0.7301514456172558,0.011463220288790613,0.018628537006212136,0.09175448496981417
Jute,1997,Kharif,Assam,0.5090053824965198,1.0,0.7301514456172558,0.3637811743026508,0.5911163222418154,1.0
Linseed,1997,Rabi,Assam,0.05437694708243917,0.016921600629885097,0.7301514456172558,0.03886243500814774,0.06315001419230645,0.09094804908389242
Maize,1997,Kharif,Assam,0.10347910142734437,0.048294471281996605,0.7301514456172558,0.07395529071977834,0.12017302711305487,0.12136275980701064
Mesta,1997,Kharif,Assam,0.031850701016992965,0.09514873653907667,0.7301514456172558,0.022763135222915145,0.03698997218227239,0.9006710045231764
Niger seed,1997,Whole Year,Assam,0.053386072285393486,0.01665258720381868,0.7301514456172558,0.03815426595233067,0.06199929754639533,0.09508564509801952
Onion,1997,Whole Year,Assam,0.04217410854925698,0.05886473053548435,0.7301514456172558,0.030141179135965795,0.048978688542118266,0.4617955860486613
Other  Rabi pulses,1997,Rabi,Assam,0.5831971329253155,0.1911701263871005,0.7301514456172558,0.4168053323569538,0.6772762311044115,0.10267838006185147
Potato,1997,Whole Year,Assam,0.4052812549644712,1.0,0.7301514456172558,0.28965049938910425,0.4706600542152159,1.0
Rapeseed &Mustard,1997,Rabi,Assam,1.0000000000000002,0.5077529997457495,0.7301514456172558,1.0,0.9999999999999998,0.10936361693278726
Rice,1997,Autumn,Assam,1.0000000000000002,1.0,0.7301514456172558,1.0,0.9999999999999998,0.15393186195051084
Rice,1997,Summer,Assam,0.9422653875047458,0.6877000172234206,0.7301514456172558,0.673428093958664,0.9999999999999998,0.2090422113253651
Rice,1997,Winter,Assam,1.0000000000000002,1.0,0.7301514456172558,1.0,0.9999999999999998,0.18555817443051656
Sesamum,1997,Whole Year,Assam,0.08489481379362339,0.027088339744273215,0.7301514456172558,0.06067327217833974,0.09859083610740639,0.09607885143174642
Small millets,1997,Kharif,Assam,0.05648794121527563,0.017685992438098208,0.7301514456172558,0.04037114299662758,0.06560154095968235,0.09324191128206107
Sugarcane,1997,Kharif,Assam,0.1686506600895557,1.0,0.7301514456172558,0.12053280111922489,0.1958576621609708,1.0
Sweet potato,1997,Whole Year,Assam,0.05051038129831525,0.10700829184676078,0.7301514456172558,0.03609903619251374,0.058659717715327145,0.6782086993830931
Tapioca,1997,Whole Year,Assam,0.013271798572386367,0.03847548123057239,0.7301514456172558,0.009484965426345107,0.015414035071438644,0.8709663595381437
Tobacco,1997,Whole Year,Assam,0.0023290942919687984,8.52969399722785e-05,0.7301514456172558,0.0016643158534087857,0.0027061208078983058,0.07490893506804061
Turmeric,1997,Whole Year,Assam,0.05423154697635094,0.02287926382179501,0.7301514456172558,0.03875851889669632,0.06298115903230862,0.13207628025154527
Wheat,1997,Rabi,Assam,0.456112055015092,0.3610488242965053,0.7301514456172558,0.32597880220354614,0.529690567371494,0.24828838763142397
Arecanut,1997,Whole Year,Karnataka,0.5013584139541021,0.43744863729936767,0.4027702448996622,0.3583159565892799,0.5822357916048926,0.25500015310745655
Arhar/Tur,1997,Kharif,Karnataka,1.0000000000000002,0.32305559884193,0.4027702448996622,1.0,0.9999999999999998,0.05287689531895469
Bajra,1997,Kharif,Karnataka,1.0000000000000002,0.4332297194222773,0.4027702448996622,1.0,0.9999999999999998,0.07974755058069985
Bajra,1997,Summer,Karnataka,0.004413162479233365,0.0021717913177557065,0.4027702448996622,0.0031537801175457714,0.005126378101200525,0.1596743089608234
Black pepper,1997,Kharif,Karnataka,0.02059565576794143,0.003031322020553282,0.4027702448996622,0.0147192584476017,0.023919332019477452,0.08624383971649412
Cardamom,1997,Whole Year,Karnataka,0.11432487230370313,0.0039827109663979265,0.4027702448996622,0.0817066628850804,0.13276837126993,0.011546114136324608
Coriander,1997,Whole Year,Karnataka,0.09325262729913918,0.009359698836188868,0.4027702448996622,0.06664652421436197,0.10829688085987423,0.023918291482331443
Dry chillies,1997,Kharif,Karnataka,1.0000000000000002,0.4566863779146539,0.4027702448996622,0.7180927781584308,0.9999999999999998,0.21257053058789688
Dry chillies,1997,Rabi,Karnataka,0.024580695712581688,0.025900743887736104,0.4027702448996622,0.017567329650344257,0.028547214182380924,0.36852129597080335
Garlic,1997,Whole Year,Karnataka,0.027251749513313533,0.012463195190564847,0.4027702448996622,0.019476307105155487,0.031649146010489196,0.31244911074432724
Ginger,1997,Kharif,Karnataka,0.019486306810379415,0.015566691544940826,0.4027702448996622,0.013926417004676069,0.022631029687642166,0.24883717088399002
Groundnut,1997,Kharif,Karnataka,1.0000000000000002,1.0,0.4027702448996622,1.0,0.9999999999999998,0.1398454732654976
Groundnut,1997,Rabi,Karnataka,1.0000000000000002,0.5940308545277092,0.4027702448996622,0.7405579019562798,0.9999999999999998,0.22341261329511325
Horse-gram,1997,Kharif,Karnataka,0.9632568546725939,0.26285892378226317,0.4027702448996622,0.6884305014563538,0.9999999999999998,0.08870794942267966
Horse-gram,1997,Rabi,Karnataka,0.8787147707659624,0.2708899587458069,0.4027702448996622,0.6280090557646574,0.9999999999999998,0.10146334077335939
Jowar,1997,Kharif,Karnataka,1.0000000000000002,1.0,0.4027702448996622,1.0,0.9999999999999998,0.24207413753566806
Jowar,1997,Rabi,Karnataka,1.0000000000000002,1.0,0.4027702448996622,1.0,0.9999999999999998,0.10067648233761768
Jowar,1997,Summer,Karnataka,0.033046213000385044,0.049652661018478275,0.4027702448996622,0.02361755658373791,0.03837833683114343,0.4870872859388164
Maize,1997,Kharif,Karnataka,1.0000000000000002,1.0,0.4027702448996622,1.0,0.9999999999999998,0.5298383448671696
Maize,1997,Rabi,Karnataka,0.2630314845081572,0.32456141789759446,0.4027702448996622,0.18798590368580068,0.3054634226840062,0.39031497745979055
Maize,1997,Summer,Karnataka,0.052395197488347804,0.06854265257080057,0.4027702448996622,0.0374460968965136,0.060848580900484193,0.426924607436584
Ragi,1997,Kharif,Karnataka,1.0000000000000002,1.0,0.4027702448996622,1.0,0.9999999999999998,0.2348460823318142
Ragi,1997,Rabi,Karnataka,0.14595747316156377,0.11054483420407293,0.4027702448996622,0.1043141902430666,0.16950374941167995,0.25867676111220517
Ragi,1997,Summer,Karnataka,0.07281044942095753,0.082131111238692,0.4027702448996622,0.05203668869326636,0.08455709614314237,0.3642501726115009
Rice,1997,Kharif,Karnataka,1.0000000000000002,1.0,0.4027702448996622,1.0,0.9999999999999998,0.44028712230123335
Rice,1997,Rabi,Karnataka,0.2901997635901979,0.35873924561417897,0.4027702448996622,0.20740282154774148,0.3370143220243414,0.40881475497655717
Rice,1997,Summer,Karnataka,1.0000000000000002,1.0,0.4027702448996622,1.0,0.9999999999999998,0.5577649214058533
Sugarcane,1997,Whole Year,Karnataka,1.0000000000000002,1.0,0.4027702448996622,1.0,0.9999999999999998,1.0
Turmeric,1997,Whole Year,Karnataka,0.02337979854007523,0.07908994726352654,0.4027702448996622,0.016709059544652922,0.027152595638695147,0.8778028458283905
Wheat,1997,Rabi,Karnataka,1.0000000000000002,0.388796574999795,0.4027702448996622,0.9648704503863363,0.9999999999999998,0.1080922790456297
Arecanut,1997,Whole Year,Kerala,0.4100525325198108,0.30836484125747377,1.0,0.2930604873426582,0.4762010050210706,0.22627567419045683
Black pepper,1997,Whole Year,Kerala,0.9362393608857559,0.18214177335618856,1.0,0.669121348450733,0.9999999999999998,0.047451712684009884
Cashewnut,1997,Whole Year,Kerala,0.5173685811911499,0.24323406628556432,1.0,0.3697582750835416,0.600828620889098,0.11616517180671038
Coconut,1997,Whole Year,Kerala,1.0000000000000002,1.0,1.0,1.0,0.9999999999999998,1.0
Tapioca,1997,Whole Year,Kerala,0.7155543109785157,1.0,1.0,0.5113997837366925,0.8309844578609541,1.0
Arecanut,1997,Whole Year,Meghalaya,0.051528182040932825,0.03974837402708178,1.0,0.03682644897267366,0.05984170383531195,0.24556613306132777
Arhar/Tur,1997,Kharif,Meghalaya,0.004655495989380407,0.002240685000041008,1.0,0.003326973636631468,0.005407803367863574,0.1590172131048835
Banana,1997,Whole Year,Meghalaya,0.028210313175672946,0.20671713402281694,1.0,0.02016138369176113,0.03276233928751192,1.0
Castor seed,1997,Rabi,Meghalaya,0.00015886307887417236,4.92097730609299e-05,1.0,0.00011327167137466259,0.00018580119756033547,0.09659310048247341
